id,title,author,genre,description,rating,date,completed,age,free,link
756056,가난을 등에 업은 소녀,B급달궁 / 오은지,"스토리, 로맨스",흔하디 흔한 재벌후계자와 캔디도 울고 갈 박복한 가난소녀의 파란만장 동거기!인기작 <다세포소녀>의 웹툰판!,9.11,2020.10.19 00:00,TRUE,전체연령가,TRUE,https://comic.naver.com/webtoon/list?titleId=756056
670144,가담항설,랑또,"스토리, 판타지",이번 주인공은 돌이다!돌이지만 동료도 모으고 악당도 물리친다!랑또 작가표 동양 판타지 소년만화,9.98,2020.10.07 23:00,TRUE,12세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=670144
732071,가령의 정체불명 이야기,가령,"옴니버스, 드라마",어느 날... 인어가 내게 말을 걸어왔다. 눈을 떠보니 총구가 있었다. 그리고 몸이 연기처럼 사라지기 시작했다. 판타지보다 비현실적인 우리의 회색빛 이야기.,9.95,2020.02.03 23:22,TRUE,15세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=732071
703844,가비지타임,2사장,"스토리, 스포츠","한국 최초 한국형 고교스포츠 웹툰!열혈따윈 개나 줘, 낙오자들 뿐인 농구부의 운명은?",9.96,2022.05.28 22:58,FALSE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=703844
785701,가상&RPG,주다현,"스토리, 판타지","""사람은 좀 죽여도 싸우는건 싫어해요."" 게임에서조차 집 바깥을 나가지 않는 '제리'. 전투는 한 번도 안해봤는데, 에픽 무기가 귀속되었다? 가상현실 액션 RPG 모브사가 온라인. 그 고인물들의 군상극.",9.94,2022.06.01 22:57,FALSE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=785701
729963,가슴털 로망스,갸오오,"스토리, 개그",최고의 상남자가 되기 위한 여행을 떠나는 장호풍과 친구들명언범벅 눈물범벅 의리범벅 개그만화!,9.93,2022.01.27 22:58,TRUE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=729963
335885,가우스전자 시즌1~2,곽백수,"스토리, 개그","다국적 문어발 기업 가우스전자 마케팅3부 이야기
<트라우마> 곽백수 작가가 선보이는 본격 직장인 만화!",9.96,2015.12.30 23:09,TRUE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=335885
675554,가우스전자 시즌3~4,곽백수,"에피소드, 개그",다국적 문어발 기업 가우스전자에서 벌어지는웃픈 현실 직장인 이야기,9.97,2019.10.27 23:20,TRUE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=675554
790239,가족같은 XX,서우현,"스토리, 로맨스","탑 배우 한나나는 우연히 갈 곳 없는 고등학생 유성우를 집에 들인다.아슬아슬한 동거가 시작된 가운데, 갑자기 좋아하던 선배 이한이 다가오기 시작하는데..?!가족 같은 남자와 가족이 되고 싶은 남자, 누가 진짜 가족이 될까?",9.96,2022.06.01 22:53,FALSE,15세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=790239
753385,가족의 초상,김승택,"에피소드, 드라마","할머니의 죽음과 그로 인한 가족들의 변화를 겪어 나가면서, 당연하게만 생각했던 가족의 소중함을 깨닫게 되는 이야기이다.",9.88,2020.09.28 00:00,TRUE,12세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=753385
