id,title,author,genre,description,rating,date,completed,age,free,link
771718,수요웹툰의 나강림,이경민 / 송준혁,"스토리, 판타지","평소 웹툰을 즐겨보는 고등학생 나강림. 어느날 그의 눈앞에 웹툰 속에서 봤던 여주인공이 나타나는 기이한 일이 펼쳐진다.심지어 웹툰에서와 똑같은 사건이 그녀를 위기로 몰아넣는데,문제는 그 사건으로부터 그녀를 구해줄 주인공이 현실에는 없다는 것!결국 나강림은 주인공 역할을 대신하여 그녀들을 구하기 위해 시간을 반복하며 구른다.",9.85,2022.06.07 22:52,FALSE,15세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=771718
744081,수평선,정지훈,"스토리, 드라마","<더 복서> 정지훈 작가 전작!세계멸망 후, 모든 걸 잃은 소년·소녀의 만남",9.95,2020.04.07 10:10,TRUE,15세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=744081
703853,수학 잘하는 법,하비영,"스토리, 로맨스",그와 그녀의 수학 잘하는 법2017 <청춘로맨스 대전> 우수상 수상작,9.91,2019.04.20 23:28,TRUE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=703853
783106,수호하는 너에게,김순돌,"스토리, 로맨스","영매로 태어나 귀신을 피해 살아온 태남.무당인 할머니의 보호 아래 한정된 생활을 하며 살았지만, 대학교에 진학하며 드디어 자유를 찾았다!게다가 입학식에서 만난 동기 성결의 수호령은 주변 귀신들을 퇴치시키는 장군신급 능력을 가진 신,태남은 성결과 함께 자유로운 대학생활을 만끽할 수 있을까?",9.91,2022.06.07 22:53,FALSE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=783106
774831,수희0(tngmlek0),생일기분,"스토리, 드라마","가난한 집안, 어려운 형편에도 굴하지 않고 꿋꿋이 살아 가는 회사원 조수희.우연한 계기로 인터넷 방송을 시작하게 된다.처음엔 별 생각 없이 시작했던 인터넷 방송이 점차 수희의 삶의 균형을 무너뜨리게 되는데...",9.91,2022.06.04 22:54,FALSE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=774831
761461,순정말고 순종,슈안,"스토리, 로맨스",하루에 무려 쓰리잡. 스물 다섯 지언의 일과 끝에 남는 건 갑질에 시달린 스트레스와 돼지우리같은 집구석 뿐이다. 그러다 어느날 얻게 된 인형 한 개. 이것만 있으면 대한민국의 탑 배우 남도윤을 가정부로 부려먹을 수있다...?!2017 최강자전 대상 수상작 <늑대와 빨간모자> 슈안 작가의 차기작!,9.97,2022.06.05 22:50,FALSE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=761461
729259,숨:킬더바디,이재헌 / 김태순,"스토리, 액션",삶과 죽음의 기준은 무엇인가!신감각 SF 하드코어 액션,9.79,2019.11.08 23:22,TRUE,15세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=729259
781339,숨겨진 성녀,야마겟돈 / 연슬아,"스토리, 로맨스","오래 전, 성녀를 사랑했던 성기사가 있었다. 사사로운 감정을 가지면 안 되는 성녀에게 해가 될까 그는 늘 한 발짝 떨어져서 성녀를 지켰다. 하지만 성녀는 결국 성기사의 품에서 최후를 맞이하고, 성기사는 비통하게 맹세했다. ‘제게 다음 생이 있다면, 그때는 당신을 성녀로 살게 하지 않겠습니다.’ 기나긴 300년의 시간이 흘러, 성녀는 다시태어났다. 이번 생에는 두사람의 염원이 이루어질 수 있을까?",9.92,2022.04.22 22:53,TRUE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=781339
640110,숲 속의 미마,후은,"스토리, 판타지",전대미문의 이상한 마법사 하지만 자칭 완벽한 마법사!영혼이 자유로운 어떤 마법사 이야기,9.98,2017.02.17 23:19,TRUE,전체연령가,TRUE,https://comic.naver.com/webtoon/list?titleId=640110
738145,숲속의 담,다홍,"스토리, 판타지",어느 순간부터 성장이 멈춘 '담'은사람들을 피해 숲속으로 떠난다.,9.98,2022.06.06 22:52,FALSE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=738145
650304,슈퍼 시크릿,이온,"에피소드, 로맨스",평범한 여대생 은호와 조금 특별한 소꿉친구 견우의 술래잡기. 은호만 모르는 이웃집의 비밀들이 밝혀진다,9.98,2018.01.29 23:19,TRUE,전체연령가,TRUE,https://comic.naver.com/webtoon/list?titleId=650304
785749,슈퍼스타 천대리,박경원 / 이재국 / Do8,"스토리, 감성","“대한민국 직장인이라면 포기한 꿈 하나 정도는 있잖아요.” “그래, 누구에게나 그럴듯한 변명이 있지. 슈퍼스타의 아우라를 전수받기 전까지는…” 일은 일대로 하고 업무 성과는 뺏기고, 오늘도 내일도 평범한 직딩 천호연 대리! 어느 날, 마음을 담아 부른 노래가 과거의 슈퍼스타 한지혁을 불러낸다. “네가 마음에 들었다. 내 아우라를 너에게 전수해 주지.” “…??!” “자, 이제 동료를 모아 직장인 밴드 오디션에 도전하자.” “…??????????!”",9.76,2022.06.05 22:54,FALSE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=785749
57875,슈퍼트리오,황미나,"스토리, 개그","대한민국 명작 만화 초대선.살아 있는 전설 황미나 작가님의 명작 “슈퍼트리오”
웹툰 리메이크로 슈퍼 트리오를 다시 만나다.",9.25,2009.05.25 00:04,TRUE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=57875
347685,슈퍼트리오 시즌2,황미나,"스토리, 개그","대한민국 명작 만화 초대선.
살아 있는 전설 황미나 작가의 명작 “슈퍼트리오” 시즌2로 돌아오다.",7.36,2012.06.04 23:10,TRUE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=347685
183558,"스마일 브러시, 오래된 사...",와루,"에피소드, 일상","오래된 사진에서 찾아보는 어린 시절의 이야기.
당신의 앨범에서 잃어버렸던 추억을 찾아보세요.",9.94,2011.07.29 00:10,TRUE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=183558
150389,스마일브러시,와루,"에피소드, 일상","반복되는 일상에서 발생하는 사건 사고들.
소심하지만 할 말은 하는 가슴 따스한 와루의 좌충우돌 일상의 반전 에피소드.",9.94,2010.06.26 00:44,TRUE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=150389
403631,스마트폰 게임 개발 이야기,유영욱,"에피소드, 일상","생생한 게임 개발의 현장을 전한다!
유쾌발랄 좌충우돌 게임 개발 이야기.",9.74,2012.12.29 23:08,TRUE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=403631
745236,스몰,을승,"스토리, 로맨스","네 앞에 서면 왜 난 자꾸...♡좋아하는 이성과 함께 있으면 자꾸만 작아지는 것 같은 기분, 한 번쯤 다들 경험해 봤지? 문제는 정말 몸까지 줄어든다구!",9.91,2021.06.15 23:10,TRUE,전체연령가,TRUE,https://comic.naver.com/webtoon/list?titleId=745236
743423,스윗솔티,달삐,"스토리, 드라마",이번 알바는 잘리면 안 된다!!욱하는 성격에 매번 사고만 치는 경찰 준비생의 성질 개조 알바가 시작됩니다.,9.97,2021.04.22 23:10,TRUE,전체연령가,TRUE,https://comic.naver.com/webtoon/list?titleId=743423
791847,스치면 인연 스며들면 사랑,을승,"스토리, 로맨스",다른 지구에 존재감을 두고 이 쪽 지구로 넘어온 현도. 어느 날 현도의 존재를 느낄 수 있는 사람인 선화가 현도 앞에 나타난다. 아무것도 남기지 않고 살던 곳으로 돌아가려던 현도에게 희망이 생긴다. '나도 남들처럼 살 수 있지 않을까?'. 옷깃만 스쳐도 인연. 현도는 인연을 넘어 이 곳에 자연스럽게 스며들고 싶다.,9.95,2022.06.02 22:52,FALSE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=791847
